# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,
# Sun Sep  2 18:32:36 2018,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_hostname:   Host Name,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_letter:     Planet Letter,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_name:       Planet Name,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_discmethod: Discovery Method,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_disc:       Year of Discovery,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_orbper:     Orbital Period [days],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_bmassj:     Planet Mass or M*sin(i) [Jupiter mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_rade:       Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_radj:       Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_rads:       Planet Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_dens:       Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_eqt:        Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_snum:       Number of Stars in System,,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_dist:       Distance [pc],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_mass:       Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_rad:        Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_age:        Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,,,
# COLUMN rmk_cust:        Mock Purchased,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_disc,fpl_orbper,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fpl_snum,fst_dist,fst_lum,fst_mass,fst_rad,fst_age,rmk_cust
728,HD 92788,b,HD 92788 b,Radial Velocity,2000,325.81,0.33,1179.1493,3.71,13,1.16,0.119,2.95,,1,32.32,0.02,1.15,1.11,3.5,
729,HD 93083,b,HD 93083 b,Radial Velocity,2005,143.58,0.14,117.59,0.37,13.4,1.2,0.123,0.269,,1,28.9,-0.387,0.7,0.78,1,
730,HD 9446,b,HD 9446 b,Radial Velocity,2009,30.052,0.2,222.472,0.7,14,1.25,0.129,0.446,,1,52.85,0.041,1,1,,
731,HD 9446,c,HD 9446 c,Radial Velocity,2009,192.9,0.06,578.426,1.82,13.4,1.2,0.123,1.32,,1,52.85,0.041,1,1,,
732,HD 95086,b,HD 95086 b,Imaging,2013,,,1589,5,12.9,1.15,0.118,4.07,1000,1,91.57,,1.6,,0.017,
733,HD 95089,b,HD 95089 b,Radial Velocity,2009,507,0.157,381.38,1.2,13.7,1.22,0.126,0.815,,1,149.03,1.13,1.58,4.9,2.5,
734,HD 95127,b,HD 95127 b,Radial Velocity,2015,482,0.11,3378.5329,10.63,12.4,1.11,0.114,9.74,,1,332,2.28,3.7,41.01,5.5,
735,HD 95872,b,HD 95872 b,Radial Velocity,2015,4375,0.06,1188.6842,3.74,13,1.16,0.119,2.97,,1,7.56,-0.295,0.7,0.84,10,
736,HD 96063,b,HD 96063 b,Radial Velocity,2011,361.1,0.03,286,0.9,13.9,1.24,0.127,0.585,,1,132.8,1.104,1.02,4.5,9,
737,HD 96127,b,HD 96127 b,Radial Velocity,2011,647.29999,0.3,6661.7168,20.96,12.1,1.08,0.111,20.7,,1,221.24,2.86,10.94,51.1,4.067,
738,HD 96167,b,HD 96167 b,Radial Velocity,2009,498.89999,0.71,254.264,0.8,13.9,1.24,0.128,0.52,,1,84.03,0.53,1.67,1.85,5.62,
739,HD 97658,b,HD 97658 b,Radial Velocity,2010,9.4909,0.06,9.5349,0.03,2.354,0.21,0.022,3.9,757,1,21.3,0.3,0.89,0.74,6,
740,HD 98219,b,HD 98219 b,Radial Velocity,2011,436.89999,0,699.226,2.2,13.3,1.19,0.122,1.63,,1,150.38,1.049,1.71,3.85,2.41,
741,HD 98649,b,HD 98649 b,Radial Velocity,2012,4951,0.85,2161.2,6.8,12.7,1.13,0.116,5.8,,1,42.77,-0.066,1,1,2.3,
742,HD 99109,b,HD 99109 b,Radial Velocity,2005,439.29999,0.09,139.8452,0.44,14.3,1.28,0.131,0.263,,1,60.46,-0.29,0.76,0.98,1,
743,HD 99492,b,HD 99492 b,Radial Velocity,2004,17.0431,0.25,22.2481,0.07,5.02,0.448,0.046,0.966,,1,55.7,-0.379,0.48,0.83,4.8,
744,HD 99706,b,HD 99706 b,Radial Velocity,2011,868,0.37,441.7837,1.39,13.6,1.21,0.125,0.965,,1,130.89,1.188,1.7,6.29,2.1,
745,HIP 105854,b,HIP 105854 b,Radial Velocity,2014,184.2,0.02,2606.1,8.2,12.6,1.12,0.115,7.16,,1,84.6,1.67,2.1,,,
746,HIP 107773,b,HIP 107773 b,Radial Velocity,2015,144.3,0.09,629.3034,1.98,13.4,1.19,0.123,1.44,,1,103.63,1.87,2.42,11.6,,
747,HIP 109384,b,HIP 109384 b,Radial Velocity,2016,499.48,0.549,495.8148,1.56,13.5,1.21,0.124,1.11,,1,56.2,,0.78,,,
748,HIP 109600,b,HIP 109600 b,Radial Velocity,2016,232.08,0.163,851.7844,2.68,13.2,1.18,0.121,2.04,,1,58.6,,0.87,,,
749,HIP 116454,b,HIP 116454 b,Transit,2014,9.1205,0.2,12.7132,0.04,2.466,0.22,0.023,4.17,690,1,55.2,-0.504,0.81,0.72,2,
750,HIP 12961,b,HIP 12961 b,Radial Velocity,2010,57.435,0.17,114.4188,0.36,13.2,1.18,0.121,0.273,,1,23.8,-1.046,0.69,0.65,,
751,HIP 14810,b,HIP 14810 b,Radial Velocity,2005,6.67386,0.14,1074.2654,3.38,13.1,1.17,0.12,2.63,,1,52.88,-0.018,0.81,1.04,6,
752,HIP 14810,c,HIP 14810 c,Radial Velocity,2006,147.73,0.164,406.8224,1.28,13.7,1.22,0.125,0.869,,1,52.88,-0.018,0.81,1.04,6,
753,HIP 14810,d,HIP 14810 d,Radial Velocity,2009,952,0.173,181.1631,0.57,14.1,1.26,0.13,0.355,,1,52.88,-0.018,0.81,1.04,6,
754,HIP 41378,b,HIP 41378 b,Transit,2016,15.5712,,8.75,0.0275,2.9,0.259,0.027,1.97,,1,116.14,0.417,1.15,1.4,,
755,HIP 41378,c,HIP 41378 c,Transit,2016,31.6978,,7.08,0.0223,2.56,0.228,0.023,2.32,,1,116.14,0.417,1.15,1.4,,
756,HIP 41378,d,HIP 41378 d,Transit,2016,156,,14.9,0.0467,3.96,0.353,0.036,1.32,,1,116.14,0.417,1.15,1.4,,
757,HIP 41378,e,HIP 41378 e,Transit,2016,131,,26,0.0819,5.51,0.492,0.05,0.854,,1,116.14,0.417,1.15,1.4,,
758,HIP 41378,f,HIP 41378 f,Transit,2016,324,,74,0.233,10.2,0.91,0.093,0.383,,1,116.14,0.417,1.15,1.4,,
759,HIP 5158,b,HIP 5158 b,Radial Velocity,2009,345.72,0.52,305.1168,0.96,13.8,1.23,0.127,0.638,,1,44.8,-0.959,0.43,0.75,6,
760,HIP 5158,c,HIP 5158 c,Radial Velocity,2011,9017.76,0.14,4780.1632,15.04,12.2,1.09,0.112,14.5,,1,44.8,-0.959,0.43,0.75,6,
761,HIP 57274,b,HIP 57274 b,Radial Velocity,2011,8.1352,0.19,6.3566,0.02,2.4,0.214,0.022,2.53,,1,25.87,0.19,0.29,0.78,7.87,
762,HIP 57274,c,HIP 57274 c,Radial Velocity,2011,32.03,0.05,130,0.40902,14.2,1.27,0.13,0.249,,1,25.87,0.19,0.29,0.78,7.87,
763,HIP 57274,d,HIP 57274 d,Radial Velocity,2011,431.7,0.27,167.4,0.5267,14.2,1.27,0.13,0.321,,1,25.87,0.19,0.29,0.78,7.87,
764,HIP 63242,b,HIP 63242 b,Radial Velocity,2013,124.6,0.23,2917.56,9.18,12.5,1.12,0.115,8.21,,1,149.25,1.63,1.54,,,
765,HIP 65407,b,HIP 65407 b,Radial Velocity,2016,28.125,0.14,136.03124,0.428,14.3,1.28,0.131,0.256,,1,55.5,,0.93,,,
766,HIP 65407,c,HIP 65407 c,Radial Velocity,2016,67.3,0.12,249.17872,0.784,13.9,1.24,0.128,0.51,,1,55.5,,0.93,,,
767,HIP 65426,b,HIP 65426 b,Imaging,2017,,,2860.47,9,16.814,1.5,0.154,3.31,1500,1,111.4,1.24,1.96,1.77,0.014,
768,HIP 65891,b,HIP 65891 b,Radial Velocity,2015,1084.5,0.13,1906.98,6,12.8,1.14,0.117,5,,1,136.05,1.65,2.5,8.93,,
769,HIP 67537,b,HIP 67537 b,Radial Velocity,2017,2556.5,0.59,3527.913,11.1,12.4,1.11,0.114,10.2,,1,112.6,1.617,2.41,8.69,,
770,HIP 67851,b,HIP 67851 b,Radial Velocity,2015,88.9,0.05,438.6054,1.38,13.6,1.21,0.125,0.958,,1,65.96,1.244,1.63,5.92,,
771,HIP 67851,c,HIP 67851 c,Radial Velocity,2015,2131.8,0.17,2002.2,6.3,12.7,1.14,0.117,5.37,,1,65.96,1.244,1.63,5.92,,
772,HIP 70849,b,HIP 70849 b,Radial Velocity,2009,17337.5,0.715,2860,9,12.5,1.12,0.115,8.05,,1,23.98,-1.046,0.63,0.64,3,
773,HIP 74890,b,HIP 74890 b,Radial Velocity,2016,822.3,0.07,762.792,2.4,13.3,1.18,0.122,1.78,,1,91.49,1.215,1.74,5.77,,
774,HIP 75458,b,HIP 75458 b,Radial Velocity,2002,511.098,0.7124,2803.1,8.82,12.5,1.12,0.115,7.89,,1,31.33,,1.05,,,
775,HIP 78530,b,HIP 78530 b,Imaging,2010,,,7300,23,12,1.07,0.11,23.2,2700,1,156.7,,2.5,,0.005,
776,HIP 79431,b,HIP 79431 b,Radial Velocity,2009,111.7,0.29,667.415,2.1,13.4,1.19,0.122,1.52,,1,14.9,-1.523,0.42,0.54,,
777,HIP 8541,b,HIP 8541 b,Radial Velocity,2016,1560.2,0.16,1748.065,5.5,12.8,1.14,0.117,4.58,,1,168.63,1.405,1.17,7.83,,
778,HIP 91258,b,HIP 91258 b,Radial Velocity,2013,5.0505,0.02,346.4347,1.09,13.7,1.23,0.126,0.74,,1,44.46,-0.222,0.97,0.89,2.4,
779,HIP 97233,b,HIP 97233 b,Radial Velocity,2014,1058.8,0.61,6356.3,20,12.1,1.08,0.111,19.7,,1,106.5,1.204,1.93,5.34,,
780,HN Peg,b,HN Peg b,Imaging,2006,,,6991.57,21.9987,11.777,1.051,0.108,23.5,,1,18.39,0.072,1.1,1.04,3.1,
781,HR 2562,b,HR 2562 b,Imaging,2016,,,9534.9,30,12.442,1.11,0.114,27.2,1200,1,33.63,,1.3,,0.6,
782,HR 810,b,HR 810 b,Radial Velocity,1999,302.79999,0.14,721.4741,2.27,13.3,1.19,0.122,1.69,,1,17.24,0.25,1.34,1.13,2.72,
783,HR 8799,b,HR 8799 b,Imaging,2008,170000,,2000,7,13,1.2,0.12,5,1200,1,39.4,,1.51,,,
784,HR 8799,c,HR 8799 c,Imaging,2008,69000,0.5,3000,10,13,1.2,0.12,7.5,1200,1,39.4,,1.51,,,
785,HR 8799,d,HR 8799 d,Imaging,2008,37000,0.6,3000,10,13,1.2,0.12,7.5,1300,1,39.4,,1.51,,,
786,HR 8799,e,HR 8799 e,Imaging,2010,18000,,72.7,0.229,10.088,0.9,0.092,0.389,1300,1,39.4,,1.51,,,
787,IC 4651 9122,b,IC 4651 9122 b,Radial Velocity,2018,734,0.18,2002.329,6.3,12.7,1.14,0.117,5.37,,1,879.38,1.636,2.1,10.27,1.14,
788,K2-10,b,K2-10 b,Transit,2015,19.3044,0.31,27,0.08495,3.84,0.343,0.035,2.6,703,1,,-0.063,0.92,0.98,,
789,K2-100,b,K2-100 b,Transit,2016,1.673916,0.24,12,0.0379,3.5,0.312,0.032,1.54,,1,,0.25,1.18,1.19,0.79,
790,K2-101,b,K2-101 b,Transit,2016,14.677286,0.1,4.66,0.0147,2,0.178,0.018,3.2,,1,,-0.595,0.8,0.73,0.79,
791,K2-102,b,K2-102 b,Transit,2016,9.915615,0.1,2.24,0.00705,1.3,0.116,0.012,5.6,,1,,-0.657,0.77,0.71,0.79,
792,K2-104,b,K2-104 b,Transit,2016,1.974238,0.09,4.5,0.0142,1.96,0.175,0.018,3.28,,1,,-1.434,0.43,0.49,0.79,
793,K2-105,b,K2-105 b,Transit,2017,8.266902,,30,0.09439,3.59,0.369,0.033,3.56,,1,,-0.149,1.01,0.95,0.6,
794,K2-107,b,K2-107 b,Transit,2017,3.31392,0,266.9772,0.84,16.141,1.44,0.148,0.35,1780,1,,0.577,1.3,1.78,4.25,
795,K2-108,b,K2-108 b,Transit,2017,4.73401,0.18,59.4,0.18689,5.28,0.471,0.048,2.22,1446,1,,0.395,1.12,1.75,7.8,
796,K2-11,b,K2-11 b,Transit,2015,39.93767,,44.4,0.14,7.55,0.674,0.069,0.567,734,1,,1.32,1.35,5.15,,
797,K2-110,b,K2-110 b,Transit,2017,13.86375,0.079,16.7,0.05254,2.592,0.231,0.024,5.2,640,1,,-0.539,0.74,0.71,8,
798,K2-111,b,K2-111 b,Transit,2017,5.35117,0,8.6,0.02706,1.9,0.17,0.017,6.6,1309,1,,0.279,0.88,1.23,10.77,
799,K2-113,b,K2-113 b,Transit,2017,5.817608,0,410.0007,1.29,10.424,0.93,0.096,1.97,1178,1,,0.009,1.01,1.05,5.9,
800,K2-114,b,K2-114 b,Transit,2017,11.39109,0,587.9855,1.85,10.559,0.942,0.097,2.99,719,1,,-0.403,0.83,0.83,9.9,
801,K2-115,b,K2-115 b,Transit,2017,20.273034,0.137,266.9772,0.84,12.498,1.115,0.115,0.82,682,1,,-0.174,0.83,0.88,10.7,
802,K2-116,b,K2-116 b,Transit,2017,4.655411,0.06,0.257,0.00081,0.69,0.062,0.006,4.3,,1,56.15,-0.84,0.69,0.67,,
803,K2-117,b,K2-117 b,Transit,2017,1.291505,0.06,4.5,0.0142,1.96,0.175,0.018,3.28,,1,100,-1.357,0.58,0.49,,
804,K2-117,c,K2-117 c,Transit,2017,5.44482,0.15,4.78,0.015,2.03,0.181,0.019,3.14,,1,100,-1.357,0.58,0.49,,
805,K2-118,b,K2-118 b,Transit,2017,50.92092,0.2,6.99,0.022,2.54,0.227,0.023,2.34,,1,,-0.614,0.76,0.73,,
806,K2-119,b,K2-119 b,Transit,2017,7.728578,0.07,5.86,0.0184,2.29,0.204,0.021,2.68,,1,,-0.673,0.76,0.68,,
807,K2-12,b,K2-12 b,Transit,2015,8.28212,,6.04,0.019,2.33,0.208,0.021,2.62,1003,1,,0.018,1.01,1.01,,
808,K2-120,b,K2-120 b,Transit,2017,9.562742,0.14,4.7,0.0148,2.01,0.179,0.018,3.18,,1,,-0.842,0.69,0.67,,
809,K2-121,b,K2-121 b,Transit,2017,5.185754,0.22,61.2,0.193,9.12,0.814,0.084,0.443,,1,,-0.672,0.71,0.77,,
810,K2-122,b,K2-122 b,Transit,2017,2.219405,0.21,2.18,0.00687,1.28,0.114,0.012,5.71,,1,74,-1.102,0.63,0.59,,
811,K2-123,b,K2-123 b,Transit,2017,30.956763,0.06,7.51,0.0236,2.65,0.236,0.024,2.22,,1,156,-1.143,0.65,0.57,,
812,K2-124,b,K2-124 b,Transit,2017,6.413539,0.08,7.46,0.0235,2.64,0.236,0.024,2.23,,1,,-1.76,0.44,0.34,,
813,K2-125,b,K2-125 b,Transit,2017,21.750264,0.08,5.39,0.017,2.18,0.194,0.02,2.86,,1,,-1.58,0.49,0.4,,
814,K2-126,b,K2-126 b,Transit,2017,7.387073,0.06,4.04,0.0127,1.84,0.164,0.017,3.56,,1,,-0.897,0.7,0.62,,
815,K2-127,b,K2-127 b,Transit,2017,3.588165,0.12,56.1,0.176,8.66,0.773,0.079,0.475,,1,,-0.815,0.7,0.68,,
816,K2-128,b,K2-128 b,Transit,2017,5.675819,0.23,2.6,0.00819,1.42,0.127,0.013,4.99,,1,,-0.662,0.71,0.78,,
817,K2-129,b,K2-129 b,Transit,2017,8.239493,0.13,1.12,0.00352,1.04,0.093,0.01,5.47,,1,,-1.78,0.36,0.36,,
818,K2-13,b,K2-13 b,Transit,2015,39.91488,,4.23,0.0133,1.89,0.169,0.017,3.44,511,1,,-0.238,0.8,0.78,,
819,K2-130,b,K2-130 b,Transit,2017,2.49412,0.17,2.1,0.0066,1.25,0.112,0.011,5.91,,1,,-0.745,0.7,0.74,,
820,K2-131,b,K2-131 b,Transit,2017,0.36931,0,6.5,0.02045,1.7,0.152,0.016,6,2062,1,153.7,-0.416,0.84,0.75,,
821,K2-132,b,K2-132 b,Transit,2017,9.1751,,155.7367,0.49,14.572,1.3,0.134,0.277,,1,,0.866,1.08,3.85,8.5,
822,K2-133,b,K2-133 b,Transit,2017,3.0712,,2.27,0.00714,1.31,0.117,0.012,5.55,,1,,-1.444,0.51,0.47,,
823,K2-133,c,K2-133 c,Transit,2017,4.8682,,2.79,0.00879,1.48,0.132,0.014,4.73,,1,,-1.444,0.51,0.47,,
824,K2-133,d,K2-133 d,Transit,2017,11.0234,,4.74,0.0149,2.02,0.18,0.019,3.16,,1,,-1.444,0.51,0.47,,
825,K2-136,b,K2-136 b,Transit,2017,7.975292,0.1,0.937,0.00295,0.99,0.088,0.009,5.31,553,2,,-0.788,0.74,0.66,0.688,
826,K2-136,c,K2-136 c,Transit,2017,17.307137,0.13,8.8,0.0277,2.91,0.26,0.027,1.96,425,2,,-0.788,0.74,0.66,0.688,
827,K2-136,d,K2-136 d,Transit,2017,25.575065,0.14,2.7,0.00849,1.45,0.129,0.013,4.87,373,2,,-0.788,0.74,0.66,0.688,
828,K2-137,b,K2-137 b,Transit,2017,0.179715,0,158.915,0.5,0.89,0.079,0.008,,1471,1,,-1.58,0.46,0.44,,
829,K2-138,b,K2-138 b,Transit,2017,2.35322,0.403,3.09,0.00972,1.57,0.14,0.014,4.39,,1,183,-0.253,0.93,0.86,,
830,K2-138,c,K2-138 c,Transit,2017,3.55987,0.296,6.9,0.0217,2.52,0.225,0.023,2.37,,1,183,-0.253,0.93,0.86,,
831,K2-138,d,K2-138 d,Transit,2017,5.40478,0.348,7.56,0.0238,2.66,0.237,0.024,2.21,,1,183,-0.253,0.93,0.86,,
832,K2-138,e,K2-138 e,Transit,2017,8.26144,0.315,10.8,0.0341,3.29,0.294,0.03,1.67,,1,183,-0.253,0.93,0.86,,
833,K2-138,f,K2-138 f,Transit,2017,12.75759,0.364,8.3,0.0261,2.81,0.251,0.026,2.06,,1,183,-0.253,0.93,0.86,,
834,K2-139,b,K2-139 b,Transit,2017,28.38236,0.12,123.00021,0.387,9.057,0.808,0.083,0.91,565,1,152,-0.264,0.92,0.86,1.8,
835,K2-14,b,K2-14 b,Transit,2015,8.36802,0.14,20.7,0.065,4.81,0.429,0.044,1.02,488,1,,-1.42,0.47,0.45,,
836,K2-140,b,K2-140 b,Transit,2017,6.56918,0.12,323.86877,1.019,12.25,1.093,0.112,0.963,957,1,341.6,-0.049,1,0.99,4.22,
837,K2-141,b,K2-141 b,Transit,2018,0.2803244,0,5.08,0.01598,1.51,0.135,0.014,8.2,2039,1,58.77,-0.75,0.71,0.68,6.3,
838,K2-141,c,K2-141 c,Transit,2018,7.7485,0,7.4,0.02328,7,0.624,0.064,,,1,58.77,-0.75,0.71,0.68,6.3,
839,K2-146,b,K2-146 b,Transit,2018,2.644646,,5.48,0.0172,2.2,0.196,0.02,2.83,,1,86,-1.824,0.36,0.35,,
840,K2-147,b,K2-147 b,Transit,2018,0.961917,,2.48,0.0078,1.38,0.123,0.013,5.19,,1,88,-1.292,0.58,0.55,,
841,K2-148,b,K2-148 b,Transit,2018,4.38395,,2.33,0.00733,1.33,0.119,0.012,5.44,,2,121,-0.996,0.65,0.63,,
842,K2-148,c,K2-148 c,Transit,2018,6.9226,,3.64,0.0115,1.73,0.154,0.016,3.86,,2,121,-0.996,0.65,0.63,,
843,K2-148,d,K2-148 d,Transit,2018,9.7579,,3.33,0.0105,1.64,0.146,0.015,4.15,,2,121,-0.996,0.65,0.63,,
844,K2-149,b,K2-149 b,Transit,2018,11.332,,3.33,0.0105,1.64,0.146,0.015,4.15,,1,118,-1.31,0.59,0.57,,
845,K2-15,b,K2-15 b,Transit,2015,11.8104,,6.71,0.0211,2.48,0.221,0.023,2.42,676,1,,-0.539,0.72,0.68,,
846,K2-150,b,K2-150 b,Transit,2018,10.59357,,4.66,0.0147,2,0.178,0.018,3.2,,1,110,-1.585,0.46,0.44,,
847,K2-151,b,K2-151 b,Transit,2018,3.835592,,2.39,0.00752,1.35,0.12,0.012,5.34,,1,62.7,-1.553,0.44,0.43,,
848,K2-152,b,K2-152 b,Transit,2018,32.6479,,5.86,0.0184,2.29,0.204,0.021,2.68,337,1,108.7,-1.06,0.63,0.61,,
849,K2-153,b,K2-153 b,Transit,2018,7.51574,,4.66,0.0147,2,0.178,0.018,3.2,497,1,143.6,-1.367,0.55,0.53,,
850,K2-154,b,K2-154 b,Transit,2018,3.67626,,4.62,0.0145,1.99,0.178,0.018,3.22,715,1,129.8,-1.018,0.65,0.63,,
851,K2-154,c,K2-154 c,Transit,2018,7.95486,,4.94,0.0155,2.07,0.185,0.019,3.06,552,1,129.8,-1.018,0.65,0.63,,
852,K2-155,b,K2-155 b,Transit,2018,6.342,,4.7,0.01479,1.8,0.161,0.016,4.43,708,1,82,-1.229,0.65,0.58,,
853,K2-155,c,K2-155 c,Transit,2018,13.85,,6.5,0.02045,2.6,0.232,0.024,2.03,583,1,82,-1.229,0.65,0.58,,
854,K2-155,d,K2-155 d,Transit,2018,40.718,,4.9,0.01542,1.9,0.17,0.017,3.93,381,1,82,-1.229,0.65,0.58,,
855,K2-156,b,K2-156 b,Transit,2018,0.81314,,1.6,0.00505,1.15,0.103,0.011,5.78,1347,1,150.4,-0.756,0.66,0.66,,
856,K2-157,b,K2-157 b,Transit,2018,0.365257,,1.18,0.00371,1.055,0.094,0.01,5.51,,1,,-0.212,0.94,0.88,,
857,K2-158,b,K2-158 b,Transit,2018,10.06049,,7.46,0.0235,2.64,0.236,0.024,2.23,794,1,198.2,-0.163,0.92,0.95,,
858,K2-158,c,K2-158 c,Transit,2018,5.90279,,2.18,0.00687,1.28,0.114,0.012,5.71,948,1,198.2,-0.163,0.92,0.95,,
859,K2-159,b,K2-159 b,Transit,2018,12.42205,,5.73,0.018,2.26,0.202,0.021,2.73,684,1,171.9,-0.269,0.9,0.83,,
860,K2-16,b,K2-16 b,Transit,2015,7.6188,,4.74,0.0149,2.02,0.18,0.019,3.16,658,1,,-0.702,0.68,0.66,,
861,K2-16,c,K2-16 c,Transit,2015,19.07863,,6.99,0.022,2.54,0.227,0.023,2.34,485,1,,-0.702,0.68,0.66,,
862,K2-160,b,K2-160 b,Transit,2018,3.705871,,10.2,0.0322,3.178,0.284,0.029,1.75,,1,,-0.115,0.98,0.91,,
863,K2-161,b,K2-161 b,Transit,2018,9.283188,,31.1,0.0978,6.117,0.546,0.056,0.747,,1,,0.561,0.99,2.57,,
864,K2-162,b,K2-162 b,Transit,2018,9.45889,,2.67,0.00839,1.44,0.128,0.013,4.91,631,1,125.1,-0.627,0.75,0.69,,
865,K2-163,b,K2-163 b,Transit,2018,6.673117,,6.65,0.0209,2.466,0.22,0.023,2.44,,1,,-0.507,0.83,0.76,,
866,K2-164,b,K2-164 b,Transit,2018,17.355066,,10.6,0.0334,3.249,0.29,0.03,1.7,,1,,0.69,1.18,2.2,,
867,K2-165,b,K2-165 b,Transit,2018,2.354992,,2.17,0.00682,1.274,0.114,0.012,5.76,,1,,-0.375,0.83,0.8,,
868,K2-165,c,K2-165 c,Transit,2018,4.382745,,3.03,0.00955,1.554,0.139,0.014,4.44,,1,,-0.375,0.83,0.8,,
869,K2-165,d,K2-165 d,Transit,2018,14.101361,,7.5,0.0236,2.648,0.236,0.024,2.22,,1,,-0.375,0.83,0.8,,
870,K2-166,b,K2-166 b,Transit,2018,8.52695,,5.43,0.0171,2.19,0.195,0.02,2.84,1140,1,481,0.47,1.16,1.61,,
871,K2-167,b,K2-167 b,Transit,2018,9.977481,,8.34,0.0262,2.819,0.252,0.026,2.05,,1,78.12,0.566,1.02,1.83,,
872,K2-168,b,K2-168 b,Transit,2018,15.853989,,5.24,0.0165,2.144,0.191,0.02,2.92,,1,,-0.183,0.91,0.87,,
873,K2-169,b,K2-169 b,Transit,2018,6.380803,,2.16,0.00681,1.273,0.114,0.012,5.75,,1,,-0.141,0.99,0.92,,
874,K2-17,b,K2-17 b,Transit,2015,17.96753,0.18,5.6,0.0176,2.23,0.199,0.02,2.77,487,1,,-0.864,0.71,0.66,,
875,K2-170,b,K2-170 b,Transit,2018,7.576544,,2.6,0.00817,1.418,0.127,0.013,5.01,,1,,-0.023,0.96,0.98,,
876,K2-170,c,K2-170 c,Transit,2018,12.400047,,3.9,0.0123,1.802,0.161,0.017,3.66,,1,,-0.023,0.96,0.98,,
877,K2-171,b,K2-171 b,Transit,2018,5.628466,,7.69,0.0242,2.687,0.24,0.025,2.18,,1,,0.306,0.89,1.72,,
878,K2-172,b,K2-172 b,Transit,2018,14.316941,,3.42,0.0107,1.666,0.149,0.015,4.06,,1,,-0.184,0.93,0.87,,
879,K2-172,c,K2-172 c,Transit,2018,29.62682,,10.4,0.0326,3.206,0.286,0.029,1.73,,1,,-0.184,0.93,0.87,,
880,K2-173,b,K2-173 b,Transit,2018,5.868699,,3.22,0.0101,1.608,0.143,0.015,4.25,,1,,-0.206,0.88,0.84,,
881,K2-174,b,K2-174 b,Transit,2018,19.562743,,6.76,0.0213,2.492,0.222,0.023,2.4,,1,,-0.821,0.67,0.64,,
882,K2-175,b,K2-175 b,Transit,2018,9.525988,,4.81,0.0151,2.038,0.182,0.019,3.12,,1,,0.346,1.09,1.42,,
883,K2-176,b,K2-176 b,Transit,2018,5.329439,,2.83,0.0089,1.491,0.133,0.014,4.69,,1,,-0.233,0.94,0.86,,
884,K2-177,b,K2-177 b,Transit,2018,14.155185,,5.13,0.0161,2.116,0.189,0.019,2.97,,1,,0.254,1.21,1.21,,
885,K2-178,b,K2-178 b,Transit,2018,8.747818,,12.4,0.039,3.558,0.317,0.033,1.51,,1,,-0.179,0.95,0.89,,
886,K2-179,b,K2-179 b,Transit,2018,5.172191,,6.86,0.0216,2.513,0.224,0.023,2.38,,1,,-0.473,0.82,0.77,,
887,K2-18,b,K2-18 b,Transit,2015,32.93963,0.43,7.96,0.02504,2.38,0.212,0.022,3.3,235,1,34,-1.66,0.36,0.41,,
888,K2-18,c,K2-18 c,Radial Velocity,2017,8.962,0.47,7.51,0.02363,2.65,0.236,0.024,2.22,363,1,34,-1.66,0.36,0.41,,
889,K2-180,b,K2-180 b,Transit,2018,8.865932,,6.39,0.0201,2.41,0.215,0.022,2.51,,1,,-0.493,0.73,0.68,,
890,K2-181,b,K2-181 b,Transit,2018,6.894252,,7.78,0.0245,2.706,0.241,0.025,2.16,,1,,-0.05,1.04,1,,
